Sample_ID,Long,Lat
52009_072418_12_Elk,-123.46932,47.870426
52009_072418_13_Elk,-123.46932,47.870426
52009_072418_14_Elk,-123.46932,47.870426
52009_072418_15_Elk,-123.46932,47.870426
52009_072418_16_Elk,-123.46932,47.870426
52009_072418_17_Elk,-123.46932,47.870426
52009_072418_18_Elk,-123.46932,47.870426
52009_072418_19_Elk,-123.46932,47.870426
52009_072418_2_Elk,-123.46932,47.870426
52009_072418_20_Elk,-123.46932,47.870426
52009_072418_21_Elk,-123.46932,47.870426
52009_072418_22_Elk,-123.46932,47.870426
52009_072418_23_Elk,-123.46932,47.870426
52009_072418_24_Elk,-123.46932,47.870426
52009_072418_3_Elk,-123.46932,47.870426
52009_072418_4_Elk,-123.46932,47.870426
52009_072418_5_Elk,-123.46932,47.870426
52009_072418_6_Elk,-123.46932,47.870426
52009_072418_7_Elk,-123.46932,47.870426
52009_072418_8_Elk,-123.46932,47.870426
52009_072418_9_Elk,-123.46932,47.870426
52009_072518_25_Hayes,-123.466043,47.83032
52009_072518_26_Hayes,-123.466043,47.83032
52009_072518_27_Hayes,-123.466043,47.83032
52009_072518_28_Hayes,-123.466043,47.83032
52009_072518_29_Hayes,-123.466043,47.83032
52009_072518_30_Hayes,-123.466043,47.83032
52009_072518_31_Hayes,-123.466043,47.83032
52009_072518_32_Hayes,-123.466043,47.83032
52009_072518_33_Hayes,-123.466043,47.83032
52009_072518_34_Hayes,-123.466043,47.83032
52009_072518_35_Hayes,-123.466043,47.83032
52009_072518_36_Hayes,-123.466043,47.83032
52009_072518_37_Hayes,-123.466043,47.83032
52009_072518_38_Hayes,-123.466043,47.83032
52009_072518_39_Hayes,-123.466043,47.83032
52009_072518_39_Mills,-123.605755,47.993774
52009_072518_40_Hayes,-123.466043,47.83032
52009_072518_40_Mills,-123.605755,47.993774
52009_072518_41_Hayes,-123.466043,47.83032
52009_072518_41_Mills,-123.605755,47.993774
52009_072518_42_Hayes,-123.466043,47.83032
52009_072518_42_Mills,-123.605755,47.993774
52009_072518_43_Hayes,-123.466043,47.83032
52009_072518_43_Mills,-123.605755,47.993774
52009_072518_44_Hayes,-123.466043,47.83032
52009_072518_44_Mills,-123.605755,47.993774
52009_072518_45_Hayes,-123.466043,47.83032
52009_072518_45_Mills,-123.605755,47.993774
52009_072518_46_Hayes,-123.466043,47.83032
52009_072518_46_Mills,-123.605755,47.993774
52009_072518_47_Hayes,-123.466043,47.83032
52009_072518_47_Mills,-123.605755,47.993774
52009_072518_48_Hayes,-123.466043,47.83032
52009_072518_48_Mills,-123.605755,47.993774
52009_072518_49_Hayes,-123.466043,47.83032
52009_072518_49_Mills,-123.605755,47.993774
52009_072518_50_Hayes,-123.466043,47.83032
52009_072518_50_Mills,-123.605755,47.993774
52009_072518_51_Hayes,-123.466043,47.83032
52009_072518_51_Mills,-123.605755,47.993774
52009_072518_52_Hayes,-123.466043,47.83032
52009_072518_52_Mills,-123.605755,47.993774
52009_072518_53_Hayes,-123.466043,47.83032
52009_072518_54_Hayes,-123.466043,47.83032
52009_082018_53_Geyser,-123.564708,47.953049
52009_082018_54_Geyser,-123.564708,47.953049
52009_082018_55_Geyser,-123.564708,47.953049
